CURSO,COD_RUCT,TITULACION,IND_TESIS_MATRIC,TASA_ABAN,IND_SATIS_PDI_GT_DOC,IND_SATIS_ALUM_GT_DOC,GRUPO_TITULACION
2022-23,5600043,PROGRAMA DE DOCTORADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,153,11.93,8.75,8.83,Economía y Ciencias Sociales
2022-23,5601427,"PROGRAMA DE DOCTORADO EN ARQUITECTURA, EDIFICACIÓN, PATRIMONIO Y CIUDAD",33,,8.42,8.54,Arquitectura
2022-23,5600038,"PROGRAMA DE DOCTORADO EN ARQUITECTURA, EDIFICACIÓN, URBANÍSTICA Y PAISAJE",153,5.36,8.03,6.69,Arquitectura
2022-23,5600428,PROGRAMA DE DOCTORADO EN ARTE: PRODUCCIÓN E INVESTIGACIÓN,299,4.53,7.5,7.07,Arte
2022-23,5600046,"PROGRAMA DE DOCTORADO EN AUTOMÁTICA, ROBÓTICA E INFORMÁTICA INDUSTRIAL",35,5.0,7.22,7.08,Ingeniería Industrial
2022-23,5600180,PROGRAMA DE DOCTORADO EN BIOTECNOLOGÍA,204,3.8,7.95,5.68,Agroalimentación y Biotecnología
2022-23,5600047,"PROGRAMA DE DOCTORADO EN CIENCIA, TECNOLOGÍA Y GESTIÓN ALIMENTARIA",83,1.14,8.61,7.98,Agroalimentación y Biotecnología
2022-23,5600036,PROGRAMA DE DOCTORADO EN CIENCIA Y TECNOLOGÍA DE LA PRODUCCIÓN ANIMAL,50,1.89,8.85,8.28,Agroalimentación y Biotecnología
2022-23,5601473,PROGRAMA DE DOCTORADO EN CIENCIA Y TECNOLOGÍA MARINA Y COSTERA,14,,7.5,9.5,Ciencias
2022-23,5600049,PROGRAMA DE DOCTORADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,35,11.11,8.33,7.86,Arte
2022-23,5600319,PROGRAMA DE DOCTORADO EN DESARROLLO LOCAL Y COOPERACIÓN INTERNACIONAL,42,8.0,9.38,7.5,Economía y Ciencias Sociales
2022-23,5600595,"PROGRAMA DE DOCTORADO EN DISEÑO, FABRICACIÓN Y GESTIÓN DE PROYECTOS INDUSTRIALES",154,7.14,8.75,8.22,Ingeniería Industrial
2022-23,5600039,PROGRAMA DE DOCTORADO EN ECONOMÍA AGROALIMENTARIA,47,2.22,8.96,8.85,Economía y Ciencias Sociales
2022-23,5600324,PROGRAMA DE DOCTORADO EN ESTADÍSTICA Y OPTIMIZACIÓN,27,7.69,7.81,8.75,Ciencias
2022-23,5600045,PROGRAMA DE DOCTORADO EN INDUSTRIAS DE LA COMUNICACIÓN Y CULTURALES,106,15.91,8.5,8.31,Arte
2022-23,5600037,PROGRAMA DE DOCTORADO EN INFORMÁTICA,158,5.15,8.16,8.13,TIC
2022-23,5601191,PROGRAMA DE DOCTORADO EN INFRAESTRUCTURAS DE TRANSPORTE Y TERRITORIO,38,3.33,9.17,8.57,Ingeniería Civil
2022-23,5600052,PROGRAMA DE DOCTORADO EN INGENIERÍA DE LA CONSTRUCCIÓN,54,6.0,8.13,8.33,Ingeniería Civil
2022-23,5600137,PROGRAMA DE DOCTORADO EN INGENIERÍA DEL AGUA Y MEDIOAMBIENTAL,96,9.01,8.52,8.24,Ingeniería Civil
2022-23,5600041,PROGRAMA DE DOCTORADO EN INGENIERÍA ELECTRÓNICA,21,4.76,9.75,7.08,Ingeniería Industrial
